Year,Month,Season,District,Best_Crop_To_Plant,Type_of_Crop,Soil_Type,Soil_PH_Low,Soil_PH_High,Crop_Duration_Min_Days,Crop_Duration_Max_Days,Rainfall_mm,Max_Temp_C,Min_Temp_C,Water_Required_Min_mm,Water_Required_Max_mm
2022,Dec,Samba/Thaladi,CHENGLEPUT,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,337.57,25.61,14.22,900.0,1200.0
2025,Dec,Samba/Thaladi,ERODE,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,343.58,32.72,23.55,700.0,1000.0
2021,Apr,Navarai/Kodai,DHARMAPURI,broadbean,vegetables,Well drained loamy soil,5.5,6.0,80.0,100.0,759.08,24.01,10.93,900.0,1200.0
2023,Nov,Samba/Thaladi,TANJORE,tapoica,Root&tuber,Red lateritic loam,5.5,7.0,270.0,300.0,593.11,28.98,29.94,1000.0,1000.0
2022,Apr,Navarai/Kodai,VIRUDHUNAGAR,carrot,Root&tuber,light or sandy loam soil,6.0,7.0,75.0,75.0,602.5,22.61,19.03,1000.0,1000.0
2025,Apr,Navarai/Kodai,ERODE,annual moringa,vegetables,Sandy loam,6.5,8.0,210.0,240.0,300.36,32.28,27.52,900.0,1200.0
2025,Jul,Kuruvai/Sornavari,VILLUPURAM,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.5,8.0,85.0,95.0,229.4,26.91,24.06,350.0,500.0
2025,Jan,Navarai/Kodai,MADURAI,Knol-khol,minor vegetables,Sandy loam,5.5,7.0,50.0,65.0,749.82,30.84,19.34,900.0,1200.0
2021,Oct,Samba/Thaladi,TIRUVARUR,carrot,Root&tuber,light or sandy loam soil,6.0,7.0,75.0,75.0,306.48,22.61,17.95,1000.0,1000.0
2021,Aug,Kuruvai/Sornavari,ARIYALUR,celery,greenleafy,Silt Loam to loamy,6.0,8.5,120.0,150.0,313.17,30.09,10.11,1000.0,1000.0
2024,Jan,Navarai/Kodai,PUDUKKOTTAI,horsegram,pulses, light to heavy soils ,6.0,7.5,100.0,105.0,298.8,36.51,24.46,800.0,800.0
2021,Feb,Navarai/Kodai,COIMBATORE,bellary onion,minor vegetables,Sandy loam,5.8,6.5,150.0,150.0,619.07,25.67,17.27,900.0,1200.0
2021,Jul,Kuruvai/Sornavari,THIRUPPUR,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,292.5,29.7,28.32,700.0,1000.0
2024,Apr,Navarai/Kodai,SIVAGANGAI,Ceylon spinach,minor vegetables,Sandy loam,6.5,7.0,40.0,50.0,243.15,24.88,14.32,900.0,1200.0
2025,Feb,Navarai/Kodai,MADURAI,cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.0,8.6,45.0,55.0,661.69,26.19,23.56,800.0,1000.0
2023,Sep,Kuruvai/Sornavari,HILLY REGIONS OF SHEVROY,sweet sorghum,sugar crops,Well drained sandy loam and clayey loam soils ,6.0,8.5,115.0,125.0,137.92,31.07,28.04,500.0,600.0
2022,Jun,Kuruvai/Sornavari,CHENGLEPUT,capsicum,vegetables,Loamy soil/ Lateritic soil,5.5,7.0,60.0,60.0,760.79,29.93,14.82,500.0,1200.0
2025,Jan,Navarai/Kodai,THALAVADI HILLS,soyabean,pulses,"Well-drained, Loamy Soil",6.0,7.0,90.0,100.0,182.02,30.65,19.28,450.0,700.0
2022,Jun,Kuruvai/Sornavari,CHENGLEPUT,cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.0,8.6,45.0,55.0,623.94,25.42,21.19,800.0,1000.0
2022,Dec,Samba/Thaladi,CUDDALORE,rice,cereals,Alluvia or loamy and clayey soil,5.0,8.0,150.0,150.0,1189.25,35.67,20.6,900.0,2500.0
2024,Jun,Kuruvai/Sornavari,COIMBATORE,cluster bean,vegetables,Sandy Loam,7.0,8.5,60.0,90.0,584.74,26.92,25.78,900.0,1200.0
2024,Nov,Samba/Thaladi,VILLUPURAM,Brussels sprout,minor vegetables,Sandy loam,6.5,6.8,12.0,12.0,496.31,26.96,16.06,900.0,1200.0
2021,Oct,Samba/Thaladi,COIMBATORE,Bread fruit,minor vegetables,Sandy loam,6.1,7.4,100.0,100.0,1447.71,35.07,16.0,2030.0,2540.0
2025,Sep,Kuruvai/Sornavari,SIVAGANGAI,Pearl millet,millets,"clay, clay loam, or sandy loam soils",5.5,7.5,75.0,85.0,332.08,44.42,16.49,350.0,500.0
2024,Apr,Navarai/Kodai,COIMBATORE,redgram,pulses,deep loam soils,6.5,7.0,120.0,150.0,505.78,27.77,21.29,600.0,1400.0
2021,Mar,Navarai/Kodai,COIMBATORE,fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,5.5,8.0,60.0,70.0,126.27,43.98,11.02,500.0,480.0
2024,Oct,Samba/Thaladi,SIVAGANGAI,bengalgram,pulses,medium to heavy black soil,5.5,7.0,90.0,120.0,448.85,25.72,19.21,650.0,1000.0
2023,Apr,Navarai/Kodai,MADURAI,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.5,8.0,85.0,90.0,91.81,36.6,28.52,350.0,400.0
2021,Nov,Samba/Thaladi,THOOTHUKUDI,greengram,pulses,well-drained sandy loams or sandy soils ,6.5,7.5,100.0,100.0,369.27,34.72,24.82,850.0,1000.0
2023,May,Navarai/Kodai,THIRUNELVELI,redgram,pulses,deep loam soils,6.5,7.0,120.0,150.0,170.12,29.33,17.31,600.0,1400.0
2023,Jan,Navarai/Kodai,KANYAKUMARI,velimasal,forage crops,Well drained sandy loam and clayey loam soils ,5.8,7.0,45.0,55.0,91.99,32.95,28.09,300.0,350.0
2024,Feb,Navarai/Kodai,THIRUVALLUR,beetroot,Root&tuber,all types of friable soil,6.0,7.0,45.0,65.0,312.63,23.44,17.79,1000.0,1000.0
2024,May,Navarai/Kodai,THIRUCHIRAPALLI,tomato,vegetables,Sandy loam,6.5,7.5,90.0,140.0,191.23,28.04,17.41,600.0,800.0
2025,Nov,Samba/Thaladi,TANJORE,Mint,minor vegetables,Loamy soil,6.5,7.0,100.0,120.0,587.94,25.8,21.08,1000.0,1100.0
2023,Nov,Samba/Thaladi,CAUVERY,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.0,8.0,150.0,180.0,307.52,26.16,18.11,600.0,800.0
2025,Dec,Samba/Thaladi,VELLORE,tomato,vegetables,Sandy loam,6.5,7.5,90.0,140.0,313.84,26.48,21.96,600.0,800.0
2025,Jun,Kuruvai/Sornavari,SIVAGANGAI,safflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.4,8.2,120.0,125.0,459.1,33.2,21.05,550.0,725.0
2022,Oct,Samba/Thaladi,MADURAI,thinai,millets,"alluvial,loamy ",5.5,7.0,85.0,90.0,331.06,28.46,24.14,500.0,900.0
2024,Jul,Kuruvai/Sornavari,THIRUNELVELI,fodder cumbu,forage crops,Well drained sandy loam and clayey loam soils ,4.0,7.5,45.0,120.0,242.63,35.25,26.42,500.0,480.0
2023,Apr,Navarai/Kodai,DHARMAPURI,Cabbage,colecrops,LoamySandy,6.0,6.5,80.0,180.0,207.6,26.93,11.19,380.0,500.0
2025,May,Navarai/Kodai,ERODE,bhendi,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,55.0,65.0,1458.34,25.04,22.42,1200.0,2200.0
2024,Mar,Navarai/Kodai,TIRUVARUR,bhendi,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,55.0,65.0,872.08,26.84,24.18,1200.0,2200.0
2022,Jul,Kuruvai/Sornavari,DINDIGUL,sorghum,millets,well-drained loamy soils,6.0,7.5,95.0,105.0,403.77,36.65,17.44,450.0,650.0
2025,Jun,Kuruvai/Sornavari,SIVAGANGAI,sorghum,millets,well-drained loamy soils,6.0,7.5,95.0,105.0,293.72,35.26,16.3,450.0,650.0
2022,Jul,Kuruvai/Sornavari,KARUR,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,391.18,25.27,13.49,700.0,1200.0
2025,Sep,Kuruvai/Sornavari,CAUVERY,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.0,8.0,150.0,180.0,192.17,26.94,19.02,600.0,800.0
2023,Sep,Kuruvai/Sornavari,THE NILGRIS,bitter gourd,vegetables,Well drained loamy soil,6.5,7.0,55.0,60.0,543.3,31.76,26.69,900.0,1200.0
2023,Jun,Kuruvai/Sornavari,VILLUPURAM,beetroot,Root&tuber,all types of friable soil,6.0,7.0,45.0,65.0,521.71,23.69,19.06,1000.0,1000.0
2022,Mar,Navarai/Kodai,VELLORE,sweet potato,Root&tuber,well-drained soil,5.7,6.7,90.0,120.0,620.62,25.07,21.52,1000.0,1000.0
2023,Jun,Kuruvai/Sornavari,PUDUKKOTTAI,tomato,vegetables,Sandy loam,6.5,7.5,90.0,140.0,234.82,30.3,17.59,600.0,800.0
2022,Apr,Navarai/Kodai,KRISHNAGIRI,Cabbage,colecrops,LoamySandy,6.0,6.5,80.0,180.0,150.08,25.97,11.36,380.0,500.0
2024,Oct,Samba/Thaladi,DINDIGUL,samai,millets,Loamy Soil,8.5,9.0,80.0,100.0,434.46,37.57,26.48,480.0,750.0
2022,Jun,Kuruvai/Sornavari,CAUVERY,sweet potato,Root&tuber,well-drained soil,5.7,6.7,90.0,120.0,604.38,26.36,22.68,1000.0,1000.0
2023,Jan,Navarai/Kodai,CHENGLEPUT,Ceylon spinach,minor vegetables,Sandy loam,6.5,7.0,40.0,50.0,639.14,24.34,13.73,900.0,1200.0
2024,Aug,Kuruvai/Sornavari,THIRUVALLUR,fodder cholam,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,1095.0,1095.0,154.87,31.05,26.28,300.0,350.0
2021,Sep,Kuruvai/Sornavari,ERODE,gherkins,vegetables,Sandy loam,5.8,7.0,90.0,90.0,722.46,30.24,19.88,900.0,1200.0
2024,Dec,Samba/Thaladi,DHARMAPURI,fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,5.5,8.0,60.0,70.0,232.18,40.27,11.37,500.0,480.0
2025,Feb,Navarai/Kodai,PUDUKKOTTAI,Bread fruit,minor vegetables,Sandy loam,6.1,7.4,100.0,100.0,1485.2,34.6,20.18,2030.0,2540.0
2023,Jul,Kuruvai/Sornavari,VILLUPURAM,beetroot,Root&tuber,all types of friable soil,6.0,7.0,45.0,65.0,543.76,24.24,22.91,1000.0,1000.0
2022,Oct,Samba/Thaladi,THIRUCHIRAPALLI,radish,Root&tuber,Well grained deep loamy moist and alluviual soil,5.5,6.8,21.0,21.0,493.61,23.45,12.53,1000.0,1000.0
2022,Jan,Navarai/Kodai,THIRUVANNAMALAI,blackgram,pulses,sandy soils to heavy cotton soils,6.5,7.8,70.0,75.0,665.54,43.7,18.06,600.0,1000.0
2022,Jan,Navarai/Kodai,MADURAI,maize,millets,temperate podzols to the leached red soils of the tropics. ,5.5,7.0,105.0,110.0,516.47,27.95,22.41,500.0,800.0
2025,Jun,Kuruvai/Sornavari,KARUR,swordbean,pulses, well-drained sandy loams or sandy soils ,5.0,6.0,110.0,120.0,239.16,37.68,10.85,900.0,1500.0
2022,Jul,Kuruvai/Sornavari,NAMAKAL,panivaragu,millets,sandy loam to clays of black cotton soils,5.5,7.0,70.0,75.0,186.3,40.52,12.92,330.0,350.0
2023,Nov,Samba/Thaladi,THALAVADI HILLS,Palak,minor vegetables,Sandy loam,6.5,7.0,37.0,45.0,237.0,28.66,10.07,900.0,1200.0
2022,Aug,Kuruvai/Sornavari,THIRUVALLUR,Asparagus,minor vegetables,Sandy loam,6.0,6.7,730.0,730.0,297.39,26.75,17.74,900.0,1200.0
2024,Jul,Kuruvai/Sornavari,KOLLI HILLS,Winged Bean,minor vegetables,Sandy loam,7.0,12.0,42.0,42.0,484.63,28.22,24.86,900.0,1200.0
2023,Oct,Samba/Thaladi,DHARMAPURI,Asparagus,minor vegetables,Sandy loam,6.0,6.7,730.0,730.0,228.67,26.26,14.48,900.0,1200.0
2023,Jan,Navarai/Kodai,COIMBATORE,Knol-khol,minor vegetables,Sandy loam,5.5,7.0,50.0,65.0,363.26,29.5,19.58,900.0,1200.0
2021,Jan,Navarai/Kodai,TIRUVARUR,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.0,8.0,135.0,140.0,813.53,29.66,22.45,700.0,1300.0
2025,Oct,Samba/Thaladi,KANYAKUMARI,small onion,bulbvegetables,Sandy loam,6.0,7.0,70.0,90.0,162.84,25.77,16.5,650.0,750.0
2024,Dec,Samba/Thaladi,THIRUCHIRAPALLI,tomato,vegetables,Sandy loam,6.5,7.5,90.0,140.0,238.85,27.92,17.6,600.0,800.0
2021,Sep,Kuruvai/Sornavari,MADURAI,Chinese cabbage,minor vegetables,Sandy loam,5.5,7.0,50.0,80.0,405.01,24.39,18.03,900.0,1200.0
2021,Jul,Kuruvai/Sornavari,KARUR,tapoica,Root&tuber,Red lateritic loam,5.5,7.0,270.0,300.0,491.07,27.37,26.0,1000.0,1000.0
2024,May,Navarai/Kodai,NAMAKAL,colocasia,Root&tuber,Well grained deep loamy moist and alluviual soil,5.5,7.0,150.0,180.0,415.98,36.31,22.56,1000.0,1000.0
2024,Nov,Samba/Thaladi,KANCHEEPURAM,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,546.74,25.5,15.38,700.0,1200.0
2024,Dec,Samba/Thaladi,ERODE,Celery,minor vegetables,Sandy loam,5.8,6.8,120.0,150.0,512.25,22.7,14.44,900.0,1200.0
2021,Oct,Samba/Thaladi,THIRUVANNAMALAI,small onion,bulbvegetables,Sandy loam,6.0,7.0,70.0,90.0,296.01,25.95,20.75,650.0,750.0
2021,Jun,Kuruvai/Sornavari,KRISHNAGIRI,chillies,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,120.0,120.0,323.44,31.96,26.1,500.0,500.0
2025,Oct,Samba/Thaladi,VIRUDHUNAGAR,soundal,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,40.0,80.0,274.8,34.35,20.77,500.0,480.0
2024,May,Navarai/Kodai,ERODE,amaranthus,greenleafy,Silt Loam to loamy,6.5,7.5,70.0,75.0,590.57,27.98,19.4,1000.0,1000.0
2022,Nov,Samba/Thaladi,RAMANATHANPURAM,Cabbage,colecrops,LoamySandy,6.0,6.5,80.0,180.0,239.48,25.06,10.85,380.0,500.0
2025,Oct,Samba/Thaladi,PERAMBALUR,Chakravathi keerai,minor vegetables,Sandy loam,4.5,8.3,100.0,100.0,655.71,25.52,17.63,900.0,1200.0
2023,Nov,Samba/Thaladi,KRISHNAGIRI,Butter bean,minor vegetables,Sandy loam,6.0,7.0,80.0,100.0,327.52,26.13,19.27,900.0,1200.0
2022,Sep,Kuruvai/Sornavari,KARUR,wheat,cereals,Well Drained,6.0,7.0,80.0,90.0,217.3,25.3,22.76,450.0,650.0
2022,Jul,Kuruvai/Sornavari,CUDDALORE,onion,vegetables, Any Loamy,5.8,6.5,100.0,120.0,99.01,26.44,21.48,350.0,550.0
2025,Mar,Navarai/Kodai,THIRUNELVELI,sorghum,millets,well-drained loamy soils,6.0,7.5,95.0,105.0,388.62,38.21,16.9,450.0,650.0
2021,Apr,Navarai/Kodai,KARUR,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.5,8.0,85.0,95.0,100.49,26.06,19.81,350.0,500.0
2024,Jul,Kuruvai/Sornavari,THIRUVANNAMALAI,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,386.08,32.01,22.26,700.0,1000.0
2021,Jul,Kuruvai/Sornavari,CUDDALORE,muskmelon,vegetables,Sandy Loam,6.5,7.5,70.0,100.0,776.41,35.2,23.16,900.0,1200.0
2023,Nov,Samba/Thaladi,COIMBATORE,small onion,bulbvegetables,Sandy loam,6.0,7.0,70.0,90.0,467.64,25.85,15.99,650.0,750.0
2021,Nov,Samba/Thaladi,VELLORE,Mint,minor vegetables,Loamy soil,6.5,7.0,100.0,120.0,612.51,25.41,18.53,1000.0,1100.0
2021,Jul,Kuruvai/Sornavari,VILLUPURAM,thinai,millets,"alluvial,loamy ",5.5,7.0,85.0,90.0,421.72,26.77,23.38,500.0,900.0
2023,Jan,Navarai/Kodai,KOLLI HILLS,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,691.2,28.42,13.16,700.0,1200.0
2025,Aug,Kuruvai/Sornavari,ERODE,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.5,7.0,140.0,150.0,161.95,43.49,11.07,500.0,700.0
2021,Dec,Samba/Thaladi,VILLUPURAM,curry leaf,greenleafy,Red sandy loam,5.2,5.5,90.0,85.0,341.66,38.39,26.26,1000.0,1000.0
2023,Dec,Samba/Thaladi,COIMBATORE,carrot,Root&tuber,light or sandy loam soil,6.0,7.0,75.0,75.0,393.82,24.88,17.71,1000.0,1000.0
2025,Aug,Kuruvai/Sornavari,HILLY REGIONS OF SHEVROY,soyabean,pulses,"Well-drained, Loamy Soil",6.0,7.0,90.0,100.0,418.32,31.23,15.71,450.0,700.0
2021,Feb,Navarai/Kodai,ERODE,sweet potato,Root&tuber,well-drained soil,5.7,6.7,90.0,120.0,311.52,26.11,19.16,1000.0,1000.0
2024,Apr,Navarai/Kodai,KARUR,cauliflower,colecrops,LoamySandy,6.5,6.8,55.0,100.0,100.3,28.79,10.0,380.0,500.0
2024,Mar,Navarai/Kodai,ARIYALUR,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,678.91,26.51,14.55,900.0,1200.0
2022,Apr,Navarai/Kodai,VILLUPURAM,swordbean,pulses, well-drained sandy loams or sandy soils ,5.0,6.0,110.0,120.0,300.57,32.92,16.38,900.0,1500.0
2021,Apr,Navarai/Kodai,THIRUCHIRAPALLI,elephant foot yam,Root&tuber,Rich red loamy soil,5.5,7.0,240.0,240.0,708.19,33.62,24.36,1000.0,1500.0
2024,Mar,Navarai/Kodai,DHARMAPURI,kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,6.5,7.5,45.0,55.0,126.86,35.98,24.61,300.0,350.0
2024,Jan,Navarai/Kodai,MADURAI,bengalgram,pulses,medium to heavy black soil,5.5,7.0,90.0,120.0,231.62,29.78,24.65,650.0,1000.0
2021,Jan,Navarai/Kodai,DHARMAPURI,broadbean,vegetables,Well drained loamy soil,5.5,6.0,80.0,100.0,764.81,24.21,13.83,900.0,1200.0
2025,Apr,Navarai/Kodai,THIRUCHIRAPALLI,fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,5.5,8.0,60.0,70.0,202.83,44.48,12.95,500.0,480.0
2024,Apr,Navarai/Kodai,KARUR,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,587.18,27.55,14.49,900.0,1200.0
2021,Apr,Navarai/Kodai,HILLY REGIONS OF SHEVROY,Palak,minor vegetables,Sandy loam,6.5,7.0,37.0,45.0,747.48,28.25,12.42,900.0,1200.0
2021,Jan,Navarai/Kodai,THE NILGRIS,Cabbage,colecrops,LoamySandy,6.0,6.5,80.0,180.0,217.14,27.86,11.46,380.0,500.0
2023,Aug,Kuruvai/Sornavari,NAGAPATTINAM,tinda,vegetables,Sandy loam,6.5,7.5,70.0,70.0,621.37,31.25,27.46,900.0,1200.0
2023,Sep,Kuruvai/Sornavari,SIVAGANGAI,cowpea,pulses, well-drained sandy loams or sandy soils ,5.0,6.5,60.0,90.0,347.88,31.76,19.76,400.0,700.0
2025,Jun,Kuruvai/Sornavari,NAGAPATTINAM,Mint,minor vegetables,Loamy soil,6.5,7.0,100.0,120.0,578.13,25.9,21.44,1000.0,1100.0
2022,Jan,Navarai/Kodai,COIMBATORE,gherkins,vegetables,Sandy loam,5.8,7.0,90.0,90.0,279.31,32.63,19.49,900.0,1200.0
2023,Apr,Navarai/Kodai,PUDUKKOTTAI,capsicum,vegetables,Loamy soil/ Lateritic soil,5.5,7.0,60.0,60.0,503.65,26.61,16.29,500.0,1200.0
2024,Jan,Navarai/Kodai,JAWAD HILLS,maize,millets,temperate podzols to the leached red soils of the tropics. ,5.5,7.0,105.0,110.0,143.73,28.08,16.46,500.0,800.0
2021,Aug,Kuruvai/Sornavari,VIRUDHUNAGAR,tomato,vegetables,Sandy loam,6.5,7.5,90.0,140.0,507.79,31.4,21.26,600.0,800.0
2024,Oct,Samba/Thaladi,DINDIGUL,pumpkin,vegetables,Loamy soil/ Lateritic soil,6.0,7.0,115.0,120.0,401.71,25.02,22.12,900.0,1200.0
2021,May,Navarai/Kodai,HILLY REGIONS OF SHEVROY,Brussels sprout,minor vegetables,Sandy loam,6.5,6.8,12.0,12.0,537.65,26.25,14.03,900.0,1200.0
2021,Feb,Navarai/Kodai,CUDDALORE,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.5,7.0,140.0,150.0,420.42,44.28,10.26,500.0,700.0
2022,Apr,Navarai/Kodai,VIRUDHUNAGAR,dioscorea,Root&tuber,well-drained soil,6.0,6.5,270.0,300.0,502.32,32.44,30.0,1000.0,2000.0
2021,May,Navarai/Kodai,PUDUKKOTTAI,kudiraivali,millets,Loamy Soil,5.5,7.0,75.0,95.0,411.93,24.99,18.28,500.0,900.0
2021,Jun,Kuruvai/Sornavari,KARUR,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,6.5,8.0,300.0,330.0,1361.96,26.23,25.09,1500.0,2500.0
2023,Nov,Samba/Thaladi,THE NILGRIS,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,204.46,32.27,27.33,700.0,1000.0
2022,Jun,Kuruvai/Sornavari,THIRUNELVELI,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,357.83,33.65,28.99,700.0,1000.0
2022,Jul,Kuruvai/Sornavari,ARIYALUR,elephant foot yam,Root&tuber,Rich red loamy soil,5.5,7.0,240.0,240.0,635.18,36.92,27.19,1000.0,1500.0
2022,Oct,Samba/Thaladi,THIRUNELVELI,panivaragu,millets,sandy loam to clays of black cotton soils,5.5,7.0,70.0,75.0,183.09,42.58,12.44,330.0,350.0
2023,May,Navarai/Kodai,THIRUVANNAMALAI,wheat,cereals,Well Drained,6.0,7.0,80.0,90.0,418.85,25.66,20.96,450.0,650.0
2024,Jan,Navarai/Kodai,VILLUPURAM,blackgram,pulses,sandy soils to heavy cotton soils,6.5,7.8,70.0,75.0,610.8,39.19,23.52,600.0,1000.0
2022,Mar,Navarai/Kodai,TIRUVARUR,Butter bean,minor vegetables,Sandy loam,6.0,7.0,80.0,100.0,667.73,27.18,16.74,900.0,1200.0
2022,Jan,Navarai/Kodai,CHENGLEPUT,Coccinia,minor vegetables,Sandy loam,6.0,6.5,90.0,90.0,286.35,28.97,23.35,900.0,1200.0
2024,May,Navarai/Kodai,THALAVADI HILLS,Phaseolus lunatus,minor vegetables,Sandy loam,6.0,6.8,90.0,90.0,614.93,27.32,18.46,900.0,2000.0
2025,Nov,Samba/Thaladi,DINDIGUL,chillies,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,120.0,120.0,162.67,28.48,25.2,500.0,500.0
2023,Dec,Samba/Thaladi,SIVAGANGAI,colocasia,Root&tuber,Well grained deep loamy moist and alluviual soil,5.5,7.0,150.0,180.0,458.3,33.32,22.52,1000.0,1000.0
2023,Aug,Kuruvai/Sornavari,SIVAGANGAI,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,450.3,25.27,14.34,900.0,1200.0
